id,hashtag,collected_at,is_relevant
125,#homegadgets,2025-09-24 13:54:44.652999,True
126,#boss,2025-09-24 13:54:44.653002,True
127,#speed,2025-09-24 13:54:44.653005,True
128,#shots,2025-09-24 13:54:44.653008,True
129,#stonehouse,2025-09-24 13:54:44.653011,True
130,#lifehack,2025-09-24 13:54:44.653014,True
131,#interiordesign,2025-09-24 13:54:44.653016,True
132,#cleaning,2025-09-24 13:54:44.653019,True
133,#homedesign,2025-09-24 13:54:44.653022,True
134,#cool,2025-09-24 13:54:44.653025,True
135,#microwave,2025-09-24 13:54:44.653028,True
136,#korean,2025-09-24 13:54:44.653031,True
137,#design,2025-09-24 13:54:44.653034,True
138,#homebuild,2025-09-24 13:54:44.653036,True
139,#movein,2025-09-24 13:54:44.653039,True
140,#smarthome,2025-09-24 13:54:44.653060,True
141,#supply,2025-09-24 13:54:44.653063,True
142,#icemaker,2025-09-24 13:54:44.653066,True
143,#tools,2025-09-24 13:54:44.653069,True
144,#lifestyle,2025-09-24 13:54:44.653072,True
145,#homedecor,2025-09-24 13:54:44.653074,True
146,#homebody,2025-09-24 13:54:44.653077,True
147,#renovating,2025-09-24 13:54:44.653080,True
148,#3,2025-09-24 13:54:44.653083,True
149,#gadgets,2025-09-24 13:54:44.653086,True
150,#viral,2025-09-24 13:54:44.653089,True
151,#coolsmarthomegadgets,2025-09-24 13:54:44.653091,True
152,#satisfying,2025-09-24 13:54:44.653094,True
153,#beautifulbydrew,2025-09-24 13:54:44.653098,True
154,#cleanwithme,2025-09-24 13:54:44.653101,True
155,#goodcar,2025-09-24 13:54:44.653104,True
156,#homebodylife,2025-09-24 13:54:44.653107,True
157,#chinese,2025-09-24 13:54:44.653109,True
158,#decor,2025-09-24 13:54:44.653112,True
159,#appliances,2025-09-24 13:54:44.653115,True
160,#homemusthave,2025-09-24 13:54:44.653118,True
161,#luxury,2025-09-24 13:54:44.653121,True
162,#beautifulbydrewbarrymore,2025-09-24 13:54:44.653124,True
163,#electrickettle,2025-09-24 13:54:44.653127,True
164,#besthomeitems,2025-09-24 13:54:44.653129,True
165,#foryou🤍,2025-09-24 13:54:44.653132,True
166,#smartdecor,2025-09-24 13:54:44.653136,True
167,#recommend,2025-09-24 13:54:44.653139,True
168,#goodvehicle,2025-09-24 13:54:44.653141,True
169,#china,2025-09-24 13:54:44.653144,True
170,#temu,2025-09-24 13:54:44.653147,True
171,#onlineshop,2025-09-24 13:54:44.653150,True
172,#summermusthaves,2025-09-24 13:54:44.653153,True
173,#buildingjourney,2025-09-24 13:54:44.653155,True
174,#bestbuy,2025-09-24 13:54:44.653158,True
175,#foryou,2025-09-24 13:54:44.653161,True
176,#work,2025-09-24 13:54:44.653164,True
177,#upgrade,2025-09-24 13:54:44.653167,True
178,#automobile,2025-09-24 13:54:44.653169,True
179,#newhouse,2025-09-24 13:54:44.653172,True
180,#bestfinds,2025-09-24 13:54:44.653175,True
181,#business,2025-09-24 13:54:44.653178,True
182,#dreamhome,2025-09-24 13:54:44.653181,True
183,#toronto,2025-09-24 13:54:44.653183,True
184,#smarthomegadgets,2025-09-24 13:54:44.653186,True
185,#stove,2025-09-24 13:54:44.653189,True
186,#kitchen,2025-09-24 13:54:44.653192,True
187,#money,2025-09-24 13:54:44.653215,True
188,#renovation,2025-09-24 13:54:44.653219,True
189,#amazonas,2025-09-24 13:54:44.653222,True
190,#cleantok,2025-09-24 13:54:44.653225,True
191,#quality,2025-09-24 13:54:44.653227,True
192,#devices,2025-09-24 13:54:44.653230,True
193,#homeimprovement,2025-09-24 13:54:44.653233,True
194,#homegadgetsdaily,2025-09-24 13:54:44.653236,True
195,#marvonovo,2025-09-24 13:54:44.653239,True
196,#technology,2025-09-24 13:54:44.653241,True
197,#cooking,2025-09-24 13:54:44.653244,True
198,#shear,2025-09-24 13:54:54.864165,True
199,#powertool,2025-09-24 13:54:54.864388,True
200,#decoration,2025-09-24 13:54:54.864399,True
201,#powertools101,2025-09-24 13:54:54.864403,True
202,#wrench,2025-09-24 13:54:54.864406,True
203,#household,2025-09-24 13:54:54.864409,True
204,#woodworking,2025-09-24 13:54:54.864411,True
205,#hometools,2025-09-24 13:54:54.864414,True
206,#hilti,2025-09-24 13:54:54.864417,True
207,#electrician,2025-09-24 13:54:54.864420,True
208,#powertools,2025-09-24 13:54:54.864423,True
209,#hercules,2025-09-24 13:54:54.864426,True
210,#tools,2025-09-24 13:54:54.864429,True
211,#milwaukee,2025-09-24 13:54:54.864431,True
212,#carpenter,2025-09-24 13:54:54.864434,True
213,#satisfying,2025-09-24 13:54:54.864437,True
214,#bestofthebest,2025-09-24 13:54:54.864440,True
215,#milwaukeetools,2025-09-24 13:54:54.864443,True
216,#olympic,2025-09-24 13:54:54.864446,True
217,#reciprocatingsaw,2025-09-24 13:54:54.864448,True
218,#makita,2025-09-24 13:54:54.864451,True
219,#blades,2025-09-24 13:54:54.864454,True
220,#ryobi,2025-09-24 13:54:54.864457,True
221,#milwaukeepowertools,2025-09-24 13:54:54.864460,True
222,#sparky,2025-09-24 13:54:54.864463,True
223,#hardware,2025-09-24 13:54:54.864465,True
224,#independent,2025-09-24 13:54:54.864468,True
225,#roofer,2025-09-24 13:54:54.864471,True
226,#saw,2025-09-24 13:54:54.864474,True
227,#goodthing,2025-09-24 13:54:54.864477,True
228,#olympics,2025-09-24 13:54:54.864480,True
229,#stone,2025-09-24 13:54:54.864482,True
230,#greenscreen,2025-09-24 13:54:54.864485,True
231,#cooltools,2025-09-24 13:54:54.864488,True
232,#v,2025-09-24 13:55:08.812332,True
233,#grass,2025-09-24 13:55:08.812543,True
234,#nebraska,2025-09-24 13:55:08.812554,True
235,#trending,2025-09-24 13:55:08.812558,True
236,#dad,2025-09-24 13:55:08.812561,True
237,#HomeownerHacks,2025-09-24 13:55:08.812564,True
238,#blessingboys,2025-09-24 13:55:08.812567,True
239,#echo,2025-09-24 13:55:08.812570,True
240,#hustle,2025-09-24 13:55:08.812572,True
241,#Meme,2025-09-24 13:55:08.812575,True
242,#tips,2025-09-24 13:55:08.812578,True
243,#HealthyLawn,2025-09-24 13:55:08.812581,True
244,#safety,2025-09-24 13:55:08.812589,True
245,#views,2025-09-24 13:55:08.812592,True
246,#makeover,2025-09-24 13:55:08.812595,True
247,#restoration,2025-09-24 13:55:08.812598,True
248,#job,2025-09-24 13:55:08.812601,True
249,#lawncarelife,2025-09-24 13:55:08.812603,True
250,#LawnTips,2025-09-24 13:55:08.812606,True
251,#landscaping,2025-09-24 13:55:08.812609,True
252,#stripes,2025-09-24 13:55:08.812612,True
253,#YardHacks,2025-09-24 13:55:08.812615,True
254,#lawns,2025-09-24 13:55:08.812617,True
255,#arbortec,2025-09-24 13:55:08.812620,True
256,#ferris,2025-09-24 13:55:08.812623,True
257,#chillinos,2025-09-24 13:55:08.812626,True
258,#entrepreneur,2025-09-24 13:55:08.812629,True
259,#cleaning,2025-09-24 13:55:08.812632,True
260,#florida,2025-09-24 13:55:08.812635,True
261,#Viral,2025-09-24 13:55:08.812637,True
262,#lawncareowner,2025-09-24 13:55:08.812640,True
263,#gardenproject,2025-09-24 13:55:08.812643,True
264,#LawnCare,2025-09-24 13:55:08.812646,True
265,#GardeningTips,2025-09-24 13:55:08.812649,True
266,#grasstok🌱,2025-09-24 13:55:08.812651,True
267,#clean,2025-09-24 13:55:08.812655,True
268,#relaxingvideos,2025-09-24 13:55:08.812658,True
269,#sb,2025-09-24 13:55:08.812660,True
270,#ohio,2025-09-24 13:55:08.812663,True
271,#GardenTok,2025-09-24 13:55:08.812666,True
272,#viral,2025-09-24 13:55:08.812669,True
